"","location","start.date","stratum","start.depth_m","end.depth_m","taxon.code","species.name","subsample.volume_mL","cell.count","correction.factor","cell.length_um","cell.width_um","cell.volume_um3","cell.density_cells.L","biomass_mg.m3","stratum.volume"
"35","227",2013-05-22,"META","1.30","4.00","P2107","Chlorogonium maximum Skuja","2","5","1000","82.00","6.00","2318.50","5000","11.59",NA
"36","227",2013-05-22,"META","1.30","4.00","P2121","Oocystis lacustris Chodat","2","7","39683","6.00","4.00","50.30","277781","13.97",NA
"37","227",2013-05-22,"META","1.30","4.00","P2126","Chodatella sp.","2","1","39683","6.00","4.00","50.30","39683","2.00",NA
"38","227",2013-05-22,"META","1.30","4.00","P2132","Scenedesmus denticulatus Lagerhiem","2","8","39683","9.40","5.00","82.00","317464","26.03",NA
"39","227",2013-05-22,"META","1.30","4.00","P2136","Dictyosphaerium pulchellum Wood","2","31","39683","6.00","6.00","113.10","1230173","139.13",NA
"40","227",2013-05-22,"META","1.30","4.00","P2141","Monoraphidium contortum (Thur.) Komarkova-Legnerova","2","13","39683","21.00","1.50","18.60","515879","9.60",NA
"41","227",2013-05-22,"META","1.30","4.00","P2235","Ankistrodesmus spiralis Lemmermann","2","2","39683","24.00","2.20","45.60","79366","3.62",NA
"42","227",2013-05-22,"META","1.30","4.00","P3300","Euglena viridis Ehrenberg","2","1","1000","102.00","19.00","19280.00","1000","19.28",NA
"43","227",2013-05-22,"META","1.30","4.00","P4351","Small chrysophyceae","2","46","39683","3.00","3.00","14.10","1825418","25.74",NA
"44","227",2013-05-22,"META","1.30","4.00","P4352","Large chrysophyceae","2","6","39683","7.00","7.00","179.60","238098","42.76",NA
"45","227",2013-05-22,"META","1.30","4.00","P4355","Chrysochromulina parva Lackey","2","122","39683","4.70","4.70","54.40","4841326","263.37",NA
"46","227",2013-05-22,"META","1.30","4.00","P4388","Dinobryon sertularia Ehrenberg","2","3","39683","12.00","6.00","226.20","119049","26.93",NA
"47","227",2013-05-22,"META","1.30","4.00","P4388","Dinobryon sertularia Ehrenberg","2","2","1000","0.00","0.00","10170.00","2000","20.34",NA
"48","227",2013-05-22,"META","1.30","4.00","P4396","Chrysolkos skuja (Nauwerck) Willen","2","2","39683","5.60","3.00","26.40","79366","2.10",NA
"49","227",2013-05-22,"META","1.30","4.00","P4413","Chrysochromulina laurentiana Kling","2","2","39683","11.00","11.00","696.90","79366","55.31",NA
"50","227",2013-05-22,"META","1.30","4.00","P4418","Salpingoeca frequentissima (Zach.) Lemmermann","2","8","39683","6.00","3.00","28.30","317464","8.98",NA
"51","227",2013-05-22,"META","1.30","4.00","P5511","Rhizosolenia eriense H.L. Smith","2","2","39683","11.00","3.00","77.80","79366","6.17",NA
"52","227",2013-05-22,"META","1.30","4.00","P5550","Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot","2","3","39683","33.00","4.00","138.20","119049","16.45",NA
"53","227",2013-05-22,"META","1.30","4.00","P6557","Cryptomonas pusilla Bachmann","2","41","39683","16.00","10.00","558.50","1627003","908.68",NA
"54","227",2013-05-22,"META","1.30","4.00","P6558","Cryptomonas erosa Ehrenberg","2","196","1000","22.60","12.00","1136.00","196000","222.66",NA
"55","227",2013-05-22,"META","1.30","4.00","P6558","Cryptomonas erosa Ehrenberg","2","403","1000","24.60","14.00","1683.10","403000","678.29",NA
"56","227",2013-05-22,"META","1.30","4.00","P6559","Cryptomonas ovata Ehrenberg","2","24","1000","40.00","16.00","3574.40","24000","85.79",NA
"57","227",2013-05-22,"META","1.30","4.00","P6562","Cryptomonas reflexa (Marsson) Skuja","2","17","1000","21.00","10.00","733.00","17000","12.46",NA
"58","227",2013-05-22,"META","1.30","4.00","P6565","Cryptomonas rostratiformis Skuja","2","71","1000","30.00","14.00","2052.50","71000","145.73",NA
"59","227",2013-05-22,"META","1.30","4.00","P6568","Katablepharis ovalis Skuja","2","6","39683","8.60","4.30","55.50","238098","13.21",NA
"60","227",2013-05-22,"META","1.30","4.00","P7632","Gymnodinium sp.","2","48","1000","36.00","36.00","24429.00","48000","1,172.59",NA
"61","227",2013-05-22,"META","1.30","4.00","P7639","Peridinium pusillum (Penard) Lemmermann","2","16","1000","18.00","16.00","2412.70","16000","38.60",NA
"62","227",2013-05-22,"META","1.30","4.00","P7641","Peridinium aciculiferum Lemmermann","2","167","1000","31.00","24.00","9349.40","167000","1,561.35",NA
"63","227",2013-06-18,"EPI","0.00","1.50","P1052","Limnothrix redekei (Van Goor) Meffert","2","3","39683","215.00","2.00","675.40","119049","80.41",NA
"64","227",2013-06-18,"EPI","0.00","1.50","P1072","Heterocysts","2","102","39683","6.00","3.00","28.30","4047666","114.55",NA
"65","227",2013-06-18,"EPI","0.00","1.50","P1074","Aphanizomenon schindlerii Kling, Findlay and Komarek","2","2244","39683","6.00","3.00","28.30","89048652","2,520.08",NA
"66","227",2013-06-18,"EPI","0.00","1.50","P2100","Pyramidomonas tetrarhynchus Schmarda","2","9","1000","13.60","12.00","512.70","9000","4.61",NA
"67","227",2013-06-18,"EPI","0.00","1.50","P2105","Chlamydomonas spp.","2","1","39683","7.00","3.00","33.00","39683","1.31",NA
"68","227",2013-06-18,"EPI","0.00","1.50","P2121","Oocystis lacustris Chodat","2","35","39683","6.00","4.00","50.30","1388905","69.86",NA
"69","227",2013-06-18,"EPI","0.00","1.50","P2126","Chodatella sp.","2","1","39683","6.00","4.00","50.30","39683","2.00",NA
"70","227",2013-06-18,"EPI","0.00","1.50","P2130","Scenedesmus quadricauda (Turp.) Brebisson","2","4","39683","8.30","4.00","46.40","158732","7.37",NA
"71","227",2013-06-18,"EPI","0.00","1.50","P2132","Scenedesmus denticulatus Lagerhiem","2","11","39683","10.00","5.00","87.30","436513","38.11",NA
"72","227",2013-06-18,"EPI","0.00","1.50","P2136","Dictyosphaerium pulchellum Wood","2","370","39683","6.00","6.00","113.10","14682710","1,660.61",NA
"73","227",2013-06-18,"EPI","0.00","1.50","P2141","Monoraphidium contortum (Thur.) Komarkova-Legnerova","2","12","39683","21.00","1.50","18.60","476196","8.86",NA
"74","227",2013-06-18,"EPI","0.00","1.50","P2157","Kichnerella lunaris (Kirchn.) Moeb.","2","62","39683","7.00","2.40","15.80","2460346","38.87",NA
"75","227",2013-06-18,"EPI","0.00","1.50","P2199","Spondylosium planum (Wolle) W. and G.S. West","2","6","39683","6.00","6.00","37.70","238098","8.98",NA
"76","227",2013-06-18,"EPI","0.00","1.50","P2222","Treubaria sp.","2","2","39683","3.00","3.00","14.10","79366","1.12",NA
"77","227",2013-06-18,"EPI","0.00","1.50","P2235","Ankistrodesmus spiralis Lemmermann","2","3","39683","35.00","2.40","79.20","119049","9.43",NA
"78","227",2013-06-18,"EPI","0.00","1.50","P4351","Small chrysophyceae","2","14","39683","3.00","3.00","14.10","555562","7.83",NA
"79","227",2013-06-18,"EPI","0.00","1.50","P4352","Large chrysophyceae","2","3","39683","9.00","9.00","381.70","119049","45.44",NA
"80","227",2013-06-18,"EPI","0.00","1.50","P4355","Chrysochromulina parva Lackey","2","140","39683","5.00","5.00","65.40","5555620","363.34",NA
"81","227",2013-06-18,"EPI","0.00","1.50","P4358","Chrysostephanospaera globulifera Scherffel","2","43","1000","14.60","14.60","1629.50","43000","70.07",NA
"82","227",2013-06-18,"EPI","0.00","1.50","P4361","Kephyrion boreale Skuja","2","1","39683","5.60","5.60","92.00","39683","3.65",NA
"83","227",2013-06-18,"EPI","0.00","1.50","P4363","Spinifiromonas sirratus***************","2","4","39683","6.10","6.10","118.80","158732","18.86",NA
"84","227",2013-06-18,"EPI","0.00","1.50","P4383","Dinobryon bavaricum Imhof","2","1","39683","12.00","6.00","226.20","39683","8.98",NA
"85","227",2013-06-18,"EPI","0.00","1.50","P4418","Salpingoeca frequentissima (Zach.) Lemmermann","2","9","39683","5.90","3.00","27.80","357147","9.93",NA
"86","227",2013-06-18,"EPI","0.00","1.50","P5511","Rhizosolenia eriense H.L. Smith","2","17","39683","11.00","3.00","77.80","674611","52.48",NA
"87","227",2013-06-18,"EPI","0.00","1.50","P5550","Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot","2","60","39683","32.00","4.00","134.00","2380980","319.05",NA
"88","227",2013-06-18,"EPI","0.00","1.50","P6558","Cryptomonas erosa Ehrenberg","2","20","1000","23.20","12.00","1166.20","20000","23.32",NA
"89","227",2013-06-18,"EPI","0.00","1.50","P6559","Cryptomonas ovata Ehrenberg","2","1","1000","40.00","16.00","3574.40","1000","3.57",NA
"90","227",2013-06-18,"EPI","0.00","1.50","P6562","Cryptomonas reflexa (Marsson) Skuja","2","1","1000","19.60","10.00","684.20","1000","0.68",NA
"91","227",2013-06-18,"EPI","0.00","1.50","P6565","Cryptomonas rostratiformis Skuja","2","2","1000","30.00","14.00","2052.50","2000","4.11",NA
"92","227",2013-06-18,"EPI","0.00","1.50","P6568","Katablepharis ovalis Skuja","2","5","39683","7.90","4.00","43.60","198415","8.65",NA
"93","227",2013-06-18,"EPI","0.00","1.50","P7632","Gymnodinium sp.","2","10","1000","23.00","23.00","6370.60","10000","63.71",NA
"94","227",2013-06-18,"EPI","0.00","1.50","P7639","Peridinium pusillum (Penard) Lemmermann","2","2","1000","16.00","14.00","1642.00","2000","3.28",NA
"95","227",2013-06-18,"META","1.50","4.00","P1052","Limnothrix redekei (Van Goor) Meffert","2","2","39683","200.00","2.00","628.30","79366","49.87",NA
"96","227",2013-06-18,"META","1.50","4.00","P1072","Heterocysts","2","106","39683","6.00","3.00","28.30","4206398","119.04",NA
"97","227",2013-06-18,"META","1.50","4.00","P1074","Aphanizomenon schindlerii Kling, Findlay and Komarek","2","2343","39683","5.00","3.00","23.60","92977269","2,194.26",NA
"98","227",2013-06-18,"META","1.50","4.00","P2100","Pyramidomonas tetrarhynchus Schmarda","2","3","1000","14.00","12.00","527.80","3000","1.58",NA
"99","227",2013-06-18,"META","1.50","4.00","P2121","Oocystis lacustris Chodat","2","21","39683","6.00","4.00","50.30","833343","41.92",NA
"100","227",2013-06-18,"META","1.50","4.00","P2126","Chodatella sp.","2","1","39683","6.00","4.00","50.30","39683","2.00",NA
"101","227",2013-06-18,"META","1.50","4.00","P2130","Scenedesmus quadricauda (Turp.) Brebisson","2","5","39683","9.00","4.00","50.30","198415","9.98",NA
"102","227",2013-06-18,"META","1.50","4.00","P2132","Scenedesmus denticulatus Lagerhiem","2","13","39683","10.00","5.00","87.30","515879","45.04",NA
"103","227",2013-06-18,"META","1.50","4.00","P2136","Dictyosphaerium pulchellum Wood","2","426","39683","6.00","6.00","113.10","16904958","1,911.95",NA
"104","227",2013-06-18,"META","1.50","4.00","P2141","Monoraphidium contortum (Thur.) Komarkova-Legnerova","2","13","39683","21.00","1.50","18.60","515879","9.60",NA
"105","227",2013-06-18,"META","1.50","4.00","P2157","Kichnerella lunaris (Kirchn.) Moeb.","2","31","39683","6.00","2.40","13.60","1230173","16.73",NA
"106","227",2013-06-18,"META","1.50","4.00","P2199","Spondylosium planum (Wolle) W. and G.S. West","2","5","39683","6.00","6.00","37.70","198415","7.48",NA
"107","227",2013-06-18,"META","1.50","4.00","P2235","Ankistrodesmus spiralis Lemmermann","2","13","39683","26.00","2.00","40.80","515879","21.05",NA
"108","227",2013-06-18,"META","1.50","4.00","P4351","Small chrysophyceae","2","14","39683","3.00","3.00","14.10","555562","7.83",NA
"109","227",2013-06-18,"META","1.50","4.00","P4352","Large chrysophyceae","2","3","39683","9.00","9.00","381.70","119049","45.44",NA
"110","227",2013-06-18,"META","1.50","4.00","P4355","Chrysochromulina parva Lackey","2","266","39683","5.00","5.00","65.40","10555678","690.34",NA
"111","227",2013-06-18,"META","1.50","4.00","P4358","Chrysostephanospaera globulifera Scherffel","2","66","1000","14.60","14.60","1629.50","66000","107.55",NA
"112","227",2013-06-18,"META","1.50","4.00","P4411","Bitrichia chodatii (Reverdin) Chodat","2","2","39683","5.90","3.00","27.80","79366","2.21",NA
"113","227",2013-06-18,"META","1.50","4.00","P4418","Salpingoeca frequentissima (Zach.) Lemmermann","2","30","39683","6.00","3.20","32.20","1190490","38.33",NA
"114","227",2013-06-18,"META","1.50","4.00","P5511","Rhizosolenia eriense H.L. Smith","2","18","39683","10.00","3.00","70.70","714294","50.50",NA
"115","227",2013-06-18,"META","1.50","4.00","P5518","Synedra acus Kutzing","2","1","1000","100.00","2.00","104.70","1000","0.10",NA
"116","227",2013-06-18,"META","1.50","4.00","P5550","Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot","2","40","39683","32.00","4.00","134.00","1587320","212.70",NA
"117","227",2013-06-18,"META","1.50","4.00","P6554","Rhodomonas minuta Skuja","2","2","39683","11.00","5.20","103.80","79366","8.24",NA
"118","227",2013-06-18,"META","1.50","4.00","P6558","Cryptomonas erosa Ehrenberg","2","61","1000","22.60","12.00","1136.00","61000","69.30",NA
"119","227",2013-06-18,"META","1.50","4.00","P6559","Cryptomonas ovata Ehrenberg","2","5","1000","40.00","16.00","3574.40","5000","17.87",NA
"120","227",2013-06-18,"META","1.50","4.00","P6562","Cryptomonas reflexa (Marsson) Skuja","2","3","1000","19.50","10.00","680.70","3000","2.04",NA
"121","227",2013-06-18,"META","1.50","4.00","P6565","Cryptomonas rostratiformis Skuja","2","4","1000","30.00","14.00","2052.50","4000","8.21",NA
"122","227",2013-06-18,"META","1.50","4.00","P6568","Katablepharis ovalis Skuja","2","4","39683","7.90","4.00","43.60","158732","6.92",NA
"123","227",2013-06-18,"META","1.50","4.00","P7632","Gymnodinium sp.","2","3","1000","23.00","23.00","6370.60","3000","19.11",NA
"124","227",2013-06-18,"META","1.50","4.00","P7639","Peridinium pusillum (Penard) Lemmermann","2","1","1000","16.00","14.00","1642.00","1000","1.64",NA
"125","227",2013-06-18,"META","1.50","4.00","P7641","Peridinium aciculiferum Lemmermann","2","1","1000","30.00","24.00","9047.80","1000","9.05",NA
"126","227",2013-07-03,"EPI","0.00","2.00","P1054","Planktolyngbya limnetica","2","8","39683","210.00","2.00","659.70","317464","209.43",NA
"127","227",2013-07-03,"EPI","0.00","2.00","P1072","Heterocysts","2","504","39683","6.00","3.00","28.30","20000232","566.01",NA
"128","227",2013-07-03,"EPI","0.00","2.00","P1074","Aphanizomenon schindlerii Kling, Findlay and Komarek","2","16637","39683","5.60","3.00","26.40","660206071","17,429.44",NA
"129","227",2013-07-03,"EPI","0.00","2.00","P2121","Oocystis lacustris Chodat","2","1","39683","6.00","4.00","50.30","39683","2.00",NA
"130","227",2013-07-03,"EPI","0.00","2.00","P2130","Scenedesmus quadricauda (Turp.) Brebisson","2","7","39683","7.60","4.00","42.40","277781","11.78",NA
"131","227",2013-07-03,"EPI","0.00","2.00","P2132","Scenedesmus denticulatus Lagerhiem","2","20","39683","10.00","5.00","87.30","793660","69.29",NA
"132","227",2013-07-03,"EPI","0.00","2.00","P2136","Dictyosphaerium pulchellum Wood","2","32","39683","6.00","6.00","113.10","1269856","143.62",NA
"133","227",2013-07-03,"EPI","0.00","2.00","P2141","Monoraphidium contortum (Thur.) Komarkova-Legnerova","2","29","39683","21.00","1.50","18.60","1150807","21.41",NA
"134","227",2013-07-03,"EPI","0.00","2.00","P2222","Treubaria sp.","2","3","39683","3.00","3.00","14.10","119049","1.68",NA
"135","227",2013-07-03,"EPI","0.00","2.00","P2235","Ankistrodesmus spiralis Lemmermann","2","10","39683","26.90","2.00","42.30","396830","16.79",NA
"136","227",2013-07-03,"EPI","0.00","2.00","P2255","Selenastrum copricornutum Printz","2","11","39683","12.00","1.70","18.20","436513","7.94",NA
"137","227",2013-07-03,"EPI","0.00","2.00","P4351","Small chrysophyceae","2","13","39683","4.00","4.00","33.50","515879","17.28",NA
"138","227",2013-07-03,"EPI","0.00","2.00","P4352","Large chrysophyceae","2","2","39683","7.00","7.00","179.60","79366","14.25",NA
"139","227",2013-07-03,"EPI","0.00","2.00","P4355","Chrysochromulina parva Lackey","2","3","39683","4.50","4.50","47.70","119049","5.68",NA
"140","227",2013-07-03,"EPI","0.00","2.00","P4418","Salpingoeca frequentissima (Zach.) Lemmermann","2","3","39683","6.00","3.00","28.30","119049","3.37",NA
"141","227",2013-07-03,"EPI","0.00","2.00","P5550","Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot","2","8","39683","31.00","4.00","129.90","317464","41.24",NA
"142","227",2013-07-03,"EPI","0.00","2.00","P6558","Cryptomonas erosa Ehrenberg","2","25","1000","24.00","13.00","1415.80","25000","35.40",NA
"143","227",2013-07-03,"EPI","0.00","2.00","P6568","Katablepharis ovalis Skuja","2","5","39683","8.30","4.00","48.10","198415","9.54",NA
"144","227",2013-07-03,"META","0.50","3.00","P1054","Planktolyngbya limnetica","2","11","39683","200.00","2.00","628.30","436513","274.26",NA
"145","227",2013-07-03,"META","0.50","3.00","P1072","Heterocysts","2","568","39683","6.00","3.00","28.30","22539944","637.88",NA
"146","227",2013-07-03,"META","0.50","3.00","P1074","Aphanizomenon schindlerii Kling, Findlay and Komarek","2","18755","39683","5.60","3.00","26.40","744254665","19,648.32",NA
"147","227",2013-07-03,"META","0.50","3.00","P2115","Pediastrum tetras (Ehrenberg) Ralfs","2","4","39683","4.00","4.00","11.20","158732","1.78",NA
"148","227",2013-07-03,"META","0.50","3.00","P2121","Oocystis lacustris Chodat","2","2","39683","6.00","4.00","50.30","79366","3.99",NA
"149","227",2013-07-03,"META","0.50","3.00","P2126","Chodatella sp.","2","1","39683","6.00","3.00","28.30","39683","1.12",NA
"150","227",2013-07-03,"META","0.50","3.00","P2130","Scenedesmus quadricauda (Turp.) Brebisson","2","10","39683","8.60","4.00","48.00","396830","19.05",NA
"151","227",2013-07-03,"META","0.50","3.00","P2132","Scenedesmus denticulatus Lagerhiem","2","18","39683","10.30","5.00","89.90","714294","64.22",NA
"152","227",2013-07-03,"META","0.50","3.00","P2136","Dictyosphaerium pulchellum Wood","2","42","39683","6.00","6.00","113.10","1666686","188.50",NA
"153","227",2013-07-03,"META","0.50","3.00","P2141","Monoraphidium contortum (Thur.) Komarkova-Legnerova","2","27","39683","21.00","1.50","18.60","1071441","19.93",NA
"154","227",2013-07-03,"META","0.50","3.00","P2157","Kichnerella lunaris (Kirchn.) Moeb.","2","3","39683","7.00","3.00","24.70","119049","2.94",NA
"155","227",2013-07-03,"META","0.50","3.00","P2199","Spondylosium planum (Wolle) W. and G.S. West","2","1","39683","6.00","6.00","37.70","39683","1.50",NA
"156","227",2013-07-03,"META","0.50","3.00","P2235","Ankistrodesmus spiralis Lemmermann","2","6","39683","27.00","2.00","42.40","238098","10.10",NA
"157","227",2013-07-03,"META","0.50","3.00","P2255","Selenastrum copricornutum Printz","2","4","39683","12.00","1.70","18.20","158732","2.89",NA
"158","227",2013-07-03,"META","0.50","3.00","P4351","Small chrysophyceae","2","15","39683","3.00","3.00","14.10","595245","8.39",NA
"159","227",2013-07-03,"META","0.50","3.00","P4352","Large chrysophyceae","2","2","39683","7.00","7.00","179.60","79366","14.25",NA
"160","227",2013-07-03,"META","0.50","3.00","P4383","Dinobryon bavaricum Imhof","2","1","39683","12.00","6.00","226.20","39683","8.98",NA
"161","227",2013-07-03,"META","0.50","3.00","P4418","Salpingoeca frequentissima (Zach.) Lemmermann","2","5","39683","6.00","3.00","28.30","198415","5.62",NA
"162","227",2013-07-03,"META","0.50","3.00","P5550","Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot","2","24","39683","39.00","4.00","163.40","952392","155.62",NA
"163","227",2013-07-03,"META","0.50","3.00","P6558","Cryptomonas erosa Ehrenberg","2","81","1000","24.00","14.00","1642.00","81000","133.00",NA
"164","227",2013-07-03,"META","0.50","3.00","P6559","Cryptomonas ovata Ehrenberg","2","12","1000","16.00","16.00","1429.80","12000","17.16",NA
"165","227",2013-07-03,"META","0.50","3.00","P6565","Cryptomonas rostratiformis Skuja","2","4","1000","32.00","14.00","2189.30","4000","8.76",NA
"166","227",2013-07-03,"META","0.50","3.00","P6568","Katablepharis ovalis Skuja","2","4","39683","8.30","4.00","48.10","158732","7.64",NA
"167","227",2013-07-03,"META","0.50","3.00","P7632","Gymnodinium sp.","2","6","1000","29.60","29.60","13579.20","6000","81.48",NA
"168","227",2013-07-03,"META","0.50","3.00","P7641","Peridinium aciculiferum Lemmermann","2","4","1000","30.00","24.00","9047.80","4000","36.19",NA
"169","227",2013-07-16,"EPI","0.00","1.30","P1054","Planktolyngbya limnetica","2","16","39683","169.00","2.00","530.90","634928","337.08",NA
"170","227",2013-07-16,"EPI","0.00","1.30","P1072","Heterocysts","2","27","39683","6.00","3.00","28.30","1071441","30.32",NA
"171","227",2013-07-16,"EPI","0.00","1.30","P1074","Aphanizomenon schindlerii Kling, Findlay and Komarek","2","891","39683","5.50","3.00","25.90","35357553","915.76",NA
"172","227",2013-07-16,"EPI","0.00","1.30","P2105","Chlamydomonas spp.","2","29","39683","9.30","5.00","121.70","1150807","140.05",NA
"173","227",2013-07-16,"EPI","0.00","1.30","P2115","Pediastrum tetras (Ehrenberg) Ralfs","2","2","39683","4.00","4.00","11.20","79366","0.89",NA
"174","227",2013-07-16,"EPI","0.00","1.30","P2121","Oocystis lacustris Chodat","2","20","39683","6.00","4.00","50.30","793660","39.92",NA
"175","227",2013-07-16,"EPI","0.00","1.30","P2126","Chodatella sp.","2","7","39683","6.00","3.00","28.30","277781","7.86",NA
"176","227",2013-07-16,"EPI","0.00","1.30","P2130","Scenedesmus quadricauda (Turp.) Brebisson","2","18","39683","9.00","4.00","50.30","714294","35.93",NA
"177","227",2013-07-16,"EPI","0.00","1.30","P2132","Scenedesmus denticulatus Lagerhiem","2","66","39683","10.20","5.00","89.00","2619078","233.10",NA
"178","227",2013-07-16,"EPI","0.00","1.30","P2136","Dictyosphaerium pulchellum Wood","2","122","39683","6.00","6.00","113.10","4841326","547.55",NA
"179","227",2013-07-16,"EPI","0.00","1.30","P2141","Monoraphidium contortum (Thur.) Komarkova-Legnerova","2","39","39683","20.00","1.50","17.70","1547637","27.39",NA
"180","227",2013-07-16,"EPI","0.00","1.30","P2143","Monoraphidium minutum (Nag.) Komarkova-Legnerova","2","2","39683","7.00","4.00","44.00","79366","3.49",NA
"181","227",2013-07-16,"EPI","0.00","1.30","P2157","Kichnerella lunaris (Kirchn.) Moeb.","2","6","39683","6.00","2.30","12.50","238098","2.98",NA
"182","227",2013-07-16,"EPI","0.00","1.30","P2199","Spondylosium planum (Wolle) W. and G.S. West","2","1","39683","6.00","6.00","37.70","39683","1.50",NA
"183","227",2013-07-16,"EPI","0.00","1.30","P2222","Treubaria sp.","2","3","39683","3.00","3.00","14.10","119049","1.68",NA
"184","227",2013-07-16,"EPI","0.00","1.30","P2235","Ankistrodesmus spiralis Lemmermann","2","9","39683","30.00","2.00","47.10","357147","16.82",NA
