,,,Start,End,Species ,,Subsample ,Raw cell,microscope,length,width,cell volume,density,biomass,
227,2013-05-22,META,1.30,4.00,7641,Peridinium aciculiferum Lemmermann,2,167,1000,31.00,24.00,9349.40,167000,"1,561.35",
227,2013-06-18,EPI,0.00,1.50,1052,Limnothrix redekei (Van Goor) Meffert,2,3,39683,215.00,2.00,675.40,119049,80.41,
227,2013-06-18,EPI,0.00,1.50,1072,Heterocysts,2,102,39683,6.00,3.00,28.30,4047666,114.55,
227,2013-06-18,EPI,0.00,1.50,1074,"Aphanizomenon schindlerii Kling, Findlay and Komarek",2,2244,39683,6.00,3.00,28.30,89048652,"2,520.08",
227,2013-06-18,EPI,0.00,1.50,2100,Pyramidomonas tetrarhynchus Schmarda,2,9,1000,13.60,12.00,512.70,9000,4.61,
227,2013-06-18,EPI,0.00,1.50,2105,Chlamydomonas spp.,2,1,39683,7.00,3.00,33.00,39683,1.31,
227,2013-06-18,EPI,0.00,1.50,2121,Oocystis lacustris Chodat,2,35,39683,6.00,4.00,50.30,1388905,69.86,
227,2013-06-18,EPI,0.00,1.50,2126,Chodatella sp.,2,1,39683,6.00,4.00,50.30,39683,2.00,
227,2013-06-18,EPI,0.00,1.50,2130,Scenedesmus quadricauda (Turp.) Brebisson,2,4,39683,8.30,4.00,46.40,158732,7.37,
227,2013-06-18,EPI,0.00,1.50,2132,Scenedesmus denticulatus Lagerhiem,2,11,39683,10.00,5.00,87.30,436513,38.11,
227,2013-06-18,EPI,0.00,1.50,2136,Dictyosphaerium pulchellum Wood,2,370,39683,6.00,6.00,113.10,14682710,"1,660.61",
227,2013-06-18,EPI,0.00,1.50,2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,2,12,39683,21.00,1.50,18.60,476196,8.86,
227,2013-06-18,EPI,0.00,1.50,2157,Kichnerella lunaris (Kirchn.) Moeb.,2,62,39683,7.00,2.40,15.80,2460346,38.87,
227,2013-06-18,EPI,0.00,1.50,2199,Spondylosium planum (Wolle) W. and G.S. West,2,6,39683,6.00,6.00,37.70,238098,8.98,
227,2013-06-18,EPI,0.00,1.50,2222,Treubaria sp.,2,2,39683,3.00,3.00,14.10,79366,1.12,
227,2013-06-18,EPI,0.00,1.50,2235,Ankistrodesmus spiralis Lemmermann,2,3,39683,35.00,2.40,79.20,119049,9.43,
227,2013-06-18,EPI,0.00,1.50,4351,Small chrysophyceae,2,14,39683,3.00,3.00,14.10,555562,7.83,
227,2013-06-18,EPI,0.00,1.50,4352,Large chrysophyceae,2,3,39683,9.00,9.00,381.70,119049,45.44,
227,2013-06-18,EPI,0.00,1.50,4355,Chrysochromulina parva Lackey,2,140,39683,5.00,5.00,65.40,5555620,363.34,
227,2013-06-18,EPI,0.00,1.50,4358,Chrysostephanospaera globulifera Scherffel,2,43,1000,14.60,14.60,1629.50,43000,70.07,
227,2013-06-18,EPI,0.00,1.50,4361,Kephyrion boreale Skuja,2,1,39683,5.60,5.60,92.00,39683,3.65,
227,2013-06-18,EPI,0.00,1.50,4363,Spinifiromonas sirratus***************,2,4,39683,6.10,6.10,118.80,158732,18.86,
227,2013-06-18,EPI,0.00,1.50,4383,Dinobryon bavaricum Imhof,2,1,39683,12.00,6.00,226.20,39683,8.98,
227,2013-06-18,EPI,0.00,1.50,4418,Salpingoeca frequentissima (Zach.) Lemmermann,2,9,39683,5.90,3.00,27.80,357147,9.93,
227,2013-06-18,EPI,0.00,1.50,5511,Rhizosolenia eriense H.L. Smith,2,17,39683,11.00,3.00,77.80,674611,52.48,
227,2013-06-18,EPI,0.00,1.50,5550,Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot,2,60,39683,32.00,4.00,134.00,2380980,319.05,
227,2013-06-18,EPI,0.00,1.50,6558,Cryptomonas erosa Ehrenberg,2,20,1000,23.20,12.00,1166.20,20000,23.32,
227,2013-06-18,EPI,0.00,1.50,6559,Cryptomonas ovata Ehrenberg,2,1,1000,40.00,16.00,3574.40,1000,3.57,
227,2013-06-18,EPI,0.00,1.50,6562,Cryptomonas reflexa (Marsson) Skuja,2,1,1000,19.60,10.00,684.20,1000,0.68,
227,2013-06-18,EPI,0.00,1.50,6565,Cryptomonas rostratiformis Skuja,2,2,1000,30.00,14.00,2052.50,2000,4.11,
227,2013-06-18,EPI,0.00,1.50,6568,Katablepharis ovalis Skuja,2,5,39683,7.90,4.00,43.60,198415,8.65,
227,2013-06-18,EPI,0.00,1.50,7632,Gymnodinium sp.,2,10,1000,23.00,23.00,6370.60,10000,63.71,
227,2013-06-18,EPI,0.00,1.50,7639,Peridinium pusillum (Penard) Lemmermann,2,2,1000,16.00,14.00,1642.00,2000,3.28,
227,2013-06-18,META,1.50,4.00,1052,Limnothrix redekei (Van Goor) Meffert,2,2,39683,200.00,2.00,628.30,79366,49.87,
227,2013-06-18,META,1.50,4.00,1072,Heterocysts,2,106,39683,6.00,3.00,28.30,4206398,119.04,
227,2013-06-18,META,1.50,4.00,1074,"Aphanizomenon schindlerii Kling, Findlay and Komarek",2,2343,39683,5.00,3.00,23.60,92977269,"2,194.26",
227,2013-06-18,META,1.50,4.00,2100,Pyramidomonas tetrarhynchus Schmarda,2,3,1000,14.00,12.00,527.80,3000,1.58,
227,2013-06-18,META,1.50,4.00,2121,Oocystis lacustris Chodat,2,21,39683,6.00,4.00,50.30,833343,41.92,
227,2013-06-18,META,1.50,4.00,2126,Chodatella sp.,2,1,39683,6.00,4.00,50.30,39683,2.00,
227,2013-06-18,META,1.50,4.00,2130,Scenedesmus quadricauda (Turp.) Brebisson,2,5,39683,9.00,4.00,50.30,198415,9.98,
227,2013-06-18,META,1.50,4.00,2132,Scenedesmus denticulatus Lagerhiem,2,13,39683,10.00,5.00,87.30,515879,45.04,
227,2013-06-18,META,1.50,4.00,2136,Dictyosphaerium pulchellum Wood,2,426,39683,6.00,6.00,113.10,16904958,"1,911.95",
227,2013-06-18,META,1.50,4.00,2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,2,13,39683,21.00,1.50,18.60,515879,9.60,
227,2013-06-18,META,1.50,4.00,2157,Kichnerella lunaris (Kirchn.) Moeb.,2,31,39683,6.00,2.40,13.60,1230173,16.73,
227,2013-06-18,META,1.50,4.00,2199,Spondylosium planum (Wolle) W. and G.S. West,2,5,39683,6.00,6.00,37.70,198415,7.48,
227,2013-06-18,META,1.50,4.00,2235,Ankistrodesmus spiralis Lemmermann,2,13,39683,26.00,2.00,40.80,515879,21.05,
227,2013-06-18,META,1.50,4.00,4351,Small chrysophyceae,2,14,39683,3.00,3.00,14.10,555562,7.83,
227,2013-06-18,META,1.50,4.00,4352,Large chrysophyceae,2,3,39683,9.00,9.00,381.70,119049,45.44,
227,2013-06-18,META,1.50,4.00,4355,Chrysochromulina parva Lackey,2,266,39683,5.00,5.00,65.40,10555678,690.34,
227,2013-06-18,META,1.50,4.00,4358,Chrysostephanospaera globulifera Scherffel,2,66,1000,14.60,14.60,1629.50,66000,107.55,
227,2013-06-18,META,1.50,4.00,4411,Bitrichia chodatii (Reverdin) Chodat,2,2,39683,5.90,3.00,27.80,79366,2.21,
227,2013-06-18,META,1.50,4.00,4418,Salpingoeca frequentissima (Zach.) Lemmermann,2,30,39683,6.00,3.20,32.20,1190490,38.33,
227,2013-06-18,META,1.50,4.00,5511,Rhizosolenia eriense H.L. Smith,2,18,39683,10.00,3.00,70.70,714294,50.50,
227,2013-06-18,META,1.50,4.00,5518,Synedra acus Kutzing,2,1,1000,100.00,2.00,104.70,1000,0.10,
227,2013-06-18,META,1.50,4.00,5550,Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot,2,40,39683,32.00,4.00,134.00,1587320,212.70,
227,2013-06-18,META,1.50,4.00,6554,Rhodomonas minuta Skuja,2,2,39683,11.00,5.20,103.80,79366,8.24,
227,2013-06-18,META,1.50,4.00,6558,Cryptomonas erosa Ehrenberg,2,61,1000,22.60,12.00,1136.00,61000,69.30,
227,2013-06-18,META,1.50,4.00,6559,Cryptomonas ovata Ehrenberg,2,5,1000,40.00,16.00,3574.40,5000,17.87,
227,2013-06-18,META,1.50,4.00,6562,Cryptomonas reflexa (Marsson) Skuja,2,3,1000,19.50,10.00,680.70,3000,2.04,
227,2013-06-18,META,1.50,4.00,6565,Cryptomonas rostratiformis Skuja,2,4,1000,30.00,14.00,2052.50,4000,8.21,
227,2013-06-18,META,1.50,4.00,6568,Katablepharis ovalis Skuja,2,4,39683,7.90,4.00,43.60,158732,6.92,
227,2013-06-18,META,1.50,4.00,7632,Gymnodinium sp.,2,3,1000,23.00,23.00,6370.60,3000,19.11,
227,2013-06-18,META,1.50,4.00,7639,Peridinium pusillum (Penard) Lemmermann,2,1,1000,16.00,14.00,1642.00,1000,1.64,
227,2013-06-18,META,1.50,4.00,7641,Peridinium aciculiferum Lemmermann,2,1,1000,30.00,24.00,9047.80,1000,9.05,
227,2013-07-03,EPI,0.00,2.00,1054,Planktolyngbya limnetica,2,8,39683,210.00,2.00,659.70,317464,209.43,
227,2013-07-03,EPI,0.00,2.00,1072,Heterocysts,2,504,39683,6.00,3.00,28.30,20000232,566.01,
227,2013-07-03,EPI,0.00,2.00,1074,"Aphanizomenon schindlerii Kling, Findlay and Komarek",2,16637,39683,5.60,3.00,26.40,660206071,"17,429.44",
227,2013-07-03,EPI,0.00,2.00,2121,Oocystis lacustris Chodat,2,1,39683,6.00,4.00,50.30,39683,2.00,
227,2013-07-03,EPI,0.00,2.00,2130,Scenedesmus quadricauda (Turp.) Brebisson,2,7,39683,7.60,4.00,42.40,277781,11.78,
227,2013-07-03,EPI,0.00,2.00,2132,Scenedesmus denticulatus Lagerhiem,2,20,39683,10.00,5.00,87.30,793660,69.29,
227,2013-07-03,EPI,0.00,2.00,2136,Dictyosphaerium pulchellum Wood,2,32,39683,6.00,6.00,113.10,1269856,143.62,
227,2013-07-03,EPI,0.00,2.00,2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,2,29,39683,21.00,1.50,18.60,1150807,21.41,
227,2013-07-03,EPI,0.00,2.00,2222,Treubaria sp.,2,3,39683,3.00,3.00,14.10,119049,1.68,
227,2013-07-03,EPI,0.00,2.00,2235,Ankistrodesmus spiralis Lemmermann,2,10,39683,26.90,2.00,42.30,396830,16.79,
227,2013-07-03,EPI,0.00,2.00,2255,Selenastrum copricornutum Printz,2,11,39683,12.00,1.70,18.20,436513,7.94,
227,2013-07-03,EPI,0.00,2.00,4351,Small chrysophyceae,2,13,39683,4.00,4.00,33.50,515879,17.28,
227,2013-07-03,EPI,0.00,2.00,4352,Large chrysophyceae,2,2,39683,7.00,7.00,179.60,79366,14.25,
227,2013-07-03,EPI,0.00,2.00,4355,Chrysochromulina parva Lackey,2,3,39683,4.50,4.50,47.70,119049,5.68,
227,2013-07-03,EPI,0.00,2.00,4418,Salpingoeca frequentissima (Zach.) Lemmermann,2,3,39683,6.00,3.00,28.30,119049,3.37,
227,2013-07-03,EPI,0.00,2.00,5550,Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot,2,8,39683,31.00,4.00,129.90,317464,41.24,
227,2013-07-03,EPI,0.00,2.00,6558,Cryptomonas erosa Ehrenberg,2,25,1000,24.00,13.00,1415.80,25000,35.40,
227,2013-07-03,EPI,0.00,2.00,6568,Katablepharis ovalis Skuja,2,5,39683,8.30,4.00,48.10,198415,9.54,
227,2013-07-03,META,0.50,3.00,1054,Planktolyngbya limnetica,2,11,39683,200.00,2.00,628.30,436513,274.26,
227,2013-07-03,META,0.50,3.00,1072,Heterocysts,2,568,39683,6.00,3.00,28.30,22539944,637.88,
227,2013-07-03,META,0.50,3.00,1074,"Aphanizomenon schindlerii Kling, Findlay and Komarek",2,18755,39683,5.60,3.00,26.40,744254665,"19,648.32",
227,2013-07-03,META,0.50,3.00,2115,Pediastrum tetras (Ehrenberg) Ralfs,2,4,39683,4.00,4.00,11.20,158732,1.78,
227,2013-07-03,META,0.50,3.00,2121,Oocystis lacustris Chodat,2,2,39683,6.00,4.00,50.30,79366,3.99,
227,2013-07-03,META,0.50,3.00,2126,Chodatella sp.,2,1,39683,6.00,3.00,28.30,39683,1.12,
227,2013-07-03,META,0.50,3.00,2130,Scenedesmus quadricauda (Turp.) Brebisson,2,10,39683,8.60,4.00,48.00,396830,19.05,
227,2013-07-03,META,0.50,3.00,2132,Scenedesmus denticulatus Lagerhiem,2,18,39683,10.30,5.00,89.90,714294,64.22,
227,2013-07-03,META,0.50,3.00,2136,Dictyosphaerium pulchellum Wood,2,42,39683,6.00,6.00,113.10,1666686,188.50,
227,2013-07-03,META,0.50,3.00,2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,2,27,39683,21.00,1.50,18.60,1071441,19.93,
227,2013-07-03,META,0.50,3.00,2157,Kichnerella lunaris (Kirchn.) Moeb.,2,3,39683,7.00,3.00,24.70,119049,2.94,
227,2013-07-03,META,0.50,3.00,2199,Spondylosium planum (Wolle) W. and G.S. West,2,1,39683,6.00,6.00,37.70,39683,1.50,
227,2013-07-03,META,0.50,3.00,2235,Ankistrodesmus spiralis Lemmermann,2,6,39683,27.00,2.00,42.40,238098,10.10,
227,2013-07-03,META,0.50,3.00,2255,Selenastrum copricornutum Printz,2,4,39683,12.00,1.70,18.20,158732,2.89,
227,2013-07-03,META,0.50,3.00,4351,Small chrysophyceae,2,15,39683,3.00,3.00,14.10,595245,8.39,
227,2013-07-03,META,0.50,3.00,4352,Large chrysophyceae,2,2,39683,7.00,7.00,179.60,79366,14.25,
227,2013-07-03,META,0.50,3.00,4383,Dinobryon bavaricum Imhof,2,1,39683,12.00,6.00,226.20,39683,8.98,
227,2013-07-03,META,0.50,3.00,4418,Salpingoeca frequentissima (Zach.) Lemmermann,2,5,39683,6.00,3.00,28.30,198415,5.62,
227,2013-07-03,META,0.50,3.00,5550,Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot,2,24,39683,39.00,4.00,163.40,952392,155.62,
227,2013-07-03,META,0.50,3.00,6558,Cryptomonas erosa Ehrenberg,2,81,1000,24.00,14.00,1642.00,81000,133.00,
227,2013-07-03,META,0.50,3.00,6559,Cryptomonas ovata Ehrenberg,2,12,1000,16.00,16.00,1429.80,12000,17.16,
227,2013-07-03,META,0.50,3.00,6565,Cryptomonas rostratiformis Skuja,2,4,1000,32.00,14.00,2189.30,4000,8.76,
227,2013-07-03,META,0.50,3.00,6568,Katablepharis ovalis Skuja,2,4,39683,8.30,4.00,48.10,158732,7.64,
227,2013-07-03,META,0.50,3.00,7632,Gymnodinium sp.,2,6,1000,29.60,29.60,13579.20,6000,81.48,
227,2013-07-03,META,0.50,3.00,7641,Peridinium aciculiferum Lemmermann,2,4,1000,30.00,24.00,9047.80,4000,36.19,
227,2013-07-16,EPI,0.00,1.30,1054,Planktolyngbya limnetica,2,16,39683,169.00,2.00,530.90,634928,337.08,
227,2013-07-16,EPI,0.00,1.30,1072,Heterocysts,2,27,39683,6.00,3.00,28.30,1071441,30.32,
227,2013-07-16,EPI,0.00,1.30,1074,"Aphanizomenon schindlerii Kling, Findlay and Komarek",2,891,39683,5.50,3.00,25.90,35357553,915.76,
227,2013-07-16,EPI,0.00,1.30,2105,Chlamydomonas spp.,2,29,39683,9.30,5.00,121.70,1150807,140.05,
227,2013-07-16,EPI,0.00,1.30,2115,Pediastrum tetras (Ehrenberg) Ralfs,2,2,39683,4.00,4.00,11.20,79366,0.89,
227,2013-07-16,EPI,0.00,1.30,2121,Oocystis lacustris Chodat,2,20,39683,6.00,4.00,50.30,793660,39.92,
227,2013-07-16,EPI,0.00,1.30,2126,Chodatella sp.,2,7,39683,6.00,3.00,28.30,277781,7.86,
227,2013-07-16,EPI,0.00,1.30,2130,Scenedesmus quadricauda (Turp.) Brebisson,2,18,39683,9.00,4.00,50.30,714294,35.93,
227,2013-07-16,EPI,0.00,1.30,2132,Scenedesmus denticulatus Lagerhiem,2,66,39683,10.20,5.00,89.00,2619078,233.10,
227,2013-07-16,EPI,0.00,1.30,2136,Dictyosphaerium pulchellum Wood,2,122,39683,6.00,6.00,113.10,4841326,547.55,
227,2013-07-16,EPI,0.00,1.30,2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,2,39,39683,20.00,1.50,17.70,1547637,27.39,
227,2013-07-16,EPI,0.00,1.30,2143,Monoraphidium minutum (Nag.) Komarkova-Legnerova,2,2,39683,7.00,4.00,44.00,79366,3.49,
227,2013-07-16,EPI,0.00,1.30,2157,Kichnerella lunaris (Kirchn.) Moeb.,2,6,39683,6.00,2.30,12.50,238098,2.98,
227,2013-07-16,EPI,0.00,1.30,2199,Spondylosium planum (Wolle) W. and G.S. West,2,1,39683,6.00,6.00,37.70,39683,1.50,
227,2013-07-16,EPI,0.00,1.30,2222,Treubaria sp.,2,3,39683,3.00,3.00,14.10,119049,1.68,
227,2013-07-16,EPI,0.00,1.30,2235,Ankistrodesmus spiralis Lemmermann,2,9,39683,30.00,2.00,47.10,357147,16.82,
227,2013-07-16,EPI,0.00,1.30,2255,Selenastrum copricornutum Printz,2,50,39683,12.00,1.70,18.20,1984150,36.11,
227,2013-07-16,EPI,0.00,1.30,4351,Small chrysophyceae,2,20,39683,3.00,3.00,14.10,793660,11.19,
227,2013-07-16,EPI,0.00,1.30,4352,Large chrysophyceae,2,6,39683,7.00,7.00,179.60,238098,42.76,
227,2013-07-16,EPI,0.00,1.30,4355,Chrysochromulina parva Lackey,2,7,39683,5.00,5.00,65.40,277781,18.17,
227,2013-07-16,EPI,0.00,1.30,4418,Salpingoeca frequentissima (Zach.) Lemmermann,2,26,39683,5.20,3.00,24.50,1031758,25.28,
227,2013-07-16,EPI,0.00,1.30,5550,Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot,2,12,39683,34.00,4.00,142.40,476196,67.81,
227,2013-07-16,EPI,0.00,1.30,6557,Cryptomonas pusilla Bachmann,2,2,39683,16.00,8.00,357.40,79366,28.37,
227,2013-07-16,EPI,0.00,1.30,6558,Cryptomonas erosa Ehrenberg,2,90,1000,24.00,14.00,1642.00,90000,147.78,
227,2013-07-16,EPI,0.00,1.30,6559,Cryptomonas ovata Ehrenberg,2,1,1000,40.00,16.00,3574.40,1000,3.57,
227,2013-07-16,EPI,0.00,1.30,6565,Cryptomonas rostratiformis Skuja,2,12,1000,29.60,14.00,2025.10,12000,24.30,
227,2013-07-16,EPI,0.00,1.30,6568,Katablepharis ovalis Skuja,2,2,39683,9.00,4.30,60.80,79366,4.83,
227,2013-07-16,EPI,0.00,1.30,7632,Gymnodinium sp.,2,2,1000,32.00,32.00,17157.30,2000,34.31,
227,2013-07-16,EPI,0.00,1.30,7639,Peridinium pusillum (Penard) Lemmermann,2,5,1000,18.00,18.00,3053.60,5000,15.27,
227,2013-07-16,EPI,0.00,1.30,7641,Peridinium aciculiferum Lemmermann,2,1,1000,31.00,24.00,9349.40,1000,9.35,
227,2013-07-16,META,1.30,4.00,1054,Planktolyngbya limnetica,2,3,39683,196.00,2.00,615.80,119049,73.31,
227,2013-07-16,META,1.30,4.00,1072,Heterocysts,2,306,39683,6.00,3.00,28.30,12142998,343.65,
227,2013-07-16,META,1.30,4.00,1074,"Aphanizomenon schindlerii Kling, Findlay and Komarek",2,10112,39683,5.60,3.00,26.40,401274496,"10,593.65",
227,2013-07-16,META,1.30,4.00,2101,Carteria spp.,2,1,39683,6.00,3.00,28.30,39683,1.12,
227,2013-07-16,META,1.30,4.00,2105,Chlamydomonas spp.,2,28,39683,9.00,5.00,117.80,1111124,130.89,
