year,data_set,sample_id,sequence_number,location,sublocation,station,station_type,start_date,start_time,stratum,stratum_volume,sample_type,sample_top_depth,sample_bottom_depth,taxon,old_cell_volume,cell_volume,correction_factor,count_1,count_2,cell_length,cell_width,field_reference,cells_per_liter,biomass,collection_authority,collection_method,analyst
1970,P01,1,17,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P4396,300,113,7184,1,,6,6,70PF0020,7184,0.81179,144,TIP,144
1970,P01,1,18,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P5513,2000,882,200,1,,72,6.7,70PF0020,200,0.1764,144,TIP,144
1970,P01,1,19,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P5518,200,80,7184,3,,76.7,2,70PF0020,21552,1.72416,144,TIP,144
1970,P01,1,20,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P5518,200,80,200,1,,76.7,2,70PF0020,200,0.016,144,TIP,144
1970,P01,1,21,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P5524,100,103,200,1,,81.6,2.2,70PF0020,200,0.0206,144,TIP,144
1970,P01,1,22,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P6554,150,56,7184,12,,10,4,70PF0020,86208,4.82765,144,TIP,144
1970,P01,1,23,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P6557,500,268,7184,4,,12,8,70PF0020,28736,7.70125,144,TIP,144
1970,P01,1,24,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P6559,5000,2568,200,20,,30.5,15.5,70PF0020,4000,10.272,144,TIP,144
1970,P01,1,25,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P6565,8000,4109,200,1,,42,16.5,70PF0020,200,0.8218,144,TIP,144
1970,P01,1,26,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P6568,100,51,7184,1,,8,4.6,70PF0020,7184,0.36638,144,TIP,144
1970,P01,1,27,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P7636,5000,5000,200,2,,,,70PF0020,400,2,144,TIP,144
1970,P01,1,28,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P7636,30000,30000,200,1,,,,70PF0020,200,6,144,TIP,144
1970,P01,1,29,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P7638,1000,2649,200,1,,20,15.7,70PF0020,200,0.5298,144,TIP,144
1970,P01,1,30,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P7641,9000,8746,200,1,,29,24,70PF0020,200,1.7492,144,TIP,144
1999,P01,1,1,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P6565,,2052,39683,22,,30,14,K053,873026,1791.44935,144,TIP,144
1999,P01,1,2,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P6558,,704,39683,4,,14,12,K053,158732,111.74733,144,TIP,144
1999,P01,1,3,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P4368,,1257,39683,5,,24,10,K053,198415,249.40766,144,TIP,144
1999,P01,1,4,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P2132,,45,39683,4,,8,4,K053,158732,7.14294,144,TIP,144
1999,P01,1,5,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P2105,,268,39683,4,,8,8,K053,158732,42.54018,144,TIP,144
1999,P01,1,6,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P2235,,64,39683,24,,41,2,K053,952392,60.95309,144,TIP,144
1999,P01,1,7,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P2141,,19,39683,20,,22,1.5,K053,793660,15.07954,144,TIP,144
1999,P01,1,8,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P4351,,14,39683,26,,3,3,K053,1031758,14.44461,144,TIP,144
1999,P01,1,9,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P4352,,113,39683,7,,6,6,K053,277781,31.38925,144,TIP,144
1999,P01,1,10,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P1052,,247,39683,3,,140,1.5,K053,119049,29.4051,144,TIP,144
1999,P01,1,11,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P4454,,113,39683,64,,6,6,K053,2539712,286.98746,144,TIP,144
1999,P01,1,12,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P2121,,67,39683,3,,8,4,K053,119049,7.97628,144,TIP,144
1999,P01,1,13,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P2137,,14,39683,224,,3,3,K053,8888992,124.44589,144,TIP,144
1999,P01,1,14,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P3301,,7540,39683,54,,100,12,K053,2142882,16157.33028,144,TIP,144
1999,P01,1,15,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P1074,,50,39683,49,,6,4,K053,1944467,97.22335,144,TIP,144
1999,P01,1,16,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P1072,,113,39683,2,,6,6,K053,79366,8.96836,144,TIP,144
1999,P01,1,17,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P6568,,45,39683,19,,8,4,K053,753977,33.92897,144,TIP,144
1999,P01,1,18,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P5550,,43,39683,16,,41,2,K053,634928,27.3019,144,TIP,144
1999,P01,1,19,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P7632,,1056,39683,7,,14,12,K053,277781,293.33674,144,TIP,144
1999,P01,1,20,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P4388,,226,39683,2,,12,6,K053,79366,17.93672,144,TIP,144
1999,P01,1,21,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P6554,,126,39683,3,,10,6,K053,119049,15.00017,144,TIP,144
1999,P01,1,22,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P4355,,34,39683,960,,4,4,K053,38095680,1295.25312,144,TIP,144
1999,P01,1,23,227,LA,CB,FBS,1999-05-12,,EPI,83053,IND,0,2,P7638,,4189,39683,2,,20,20,K053,79366,332.46417,144,TIP,144
1972,P01,1,1,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P1062,100,32,7184,6,,1.8,1.3,72PF0197,43104,1.37933,144,TIP,144
1972,P01,1,2,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P1063,300,300,7184,2,,,,72PF0197,14368,4.3104,144,TIP,144
1972,P01,1,3,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P2105,300,171,7184,4,,9,5.3,72PF0197,28736,4.91386,144,TIP,144
1972,P01,1,4,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P2120,150,59,7184,5,,7,4,72PF0197,35920,2.11928,144,TIP,144
1972,P01,1,5,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P2196,3000,1981,200,1,,23,18,72PF0197,200,0.3962,144,TIP,144
1972,P01,1,6,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P2201,100,36,7184,179,,4.3,3.7,72PF0197,1285936,46.2937,144,TIP,144
1972,P01,1,7,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P2206,1500,29503,200,1,,38,38,72PF0197,200,5.9006,144,TIP,144
1972,P01,1,8,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P4351,100,50,7184,164,,4.6,4.6,72PF0197,1178176,58.9088,144,TIP,144
1972,P01,1,9,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P4352,150,208,7184,2,,6.5,6.5,72PF0197,14368,2.98854,144,TIP,144
1972,P01,1,10,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P4352,300,208,7184,59,,6.5,6.5,72PF0197,423856,88.16205,144,TIP,144
1972,P01,1,11,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P4364,1500,3372,7184,4,,29.1,14.7,72PF0197,28736,96.89779,144,TIP,144
1972,P01,1,12,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P4369,1500,1066,200,1,,18.2,10.4,72PF0197,200,0.2132,144,TIP,144
1972,P01,1,13,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P4388,700,211,7184,30,,11.6,5.9,72PF0197,215520,45.47472,144,TIP,144
1972,P01,1,14,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P4396,150,113,7184,29,,6,6,72PF0197,208336,23.54197,144,TIP,144
1972,P01,1,15,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P5514,1000,1206,200,7,,18,16,72PF0197,1400,1.6884,144,TIP,144
1972,P01,1,16,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P5518,650,80,7184,2,,76.7,2,72PF0197,14368,1.14944,144,TIP,144
1972,P01,1,17,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P5518,200,80,200,7,,76.7,2,72PF0197,1400,0.112,144,TIP,144
1972,P01,1,18,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P6554,150,56,7184,18,,10,4,72PF0197,129312,7.24147,144,TIP,144
1972,P01,1,19,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P6557,1000,268,7184,8,,12,8,72PF0197,57472,15.4025,144,TIP,144
1972,P01,1,20,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P6559,1500,2568,7184,27,,30.5,15.5,72PF0197,193968,498.10982,144,TIP,144
1972,P01,1,21,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P6559,1500,2568,200,58,,30.5,15.5,72PF0197,11600,29.7888,144,TIP,144
1972,P01,1,22,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P6565,8000,4109,200,66,,42,16.5,72PF0197,13200,54.2388,144,TIP,144
1972,P01,1,23,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P6568,150,51,7184,3,,8,4.6,72PF0197,21552,1.09915,144,TIP,144
1972,P01,1,24,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P7632,1000,4161,200,1,,19.3,18.7,72PF0197,200,0.8322,144,TIP,144
1972,P01,1,25,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P7632,5000,4161,200,1,,19.3,18.7,72PF0197,200,0.8322,144,TIP,144
1972,P01,1,26,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P7632,1000,4161,200,1,,19.3,18.7,72PF0197,200,0.8322,144,TIP,144
1972,P01,1,27,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P7635,30000,60458,200,1,,48.1,46.8,72PF0197,200,12.0916,144,TIP,144
1972,P01,1,28,227,LA,CB,FBS,1972-05-08,,EPI,165551,IND,0,5,P7638,1000,2649,200,10,,20,15.7,72PF0197,2000,5.298,144,TIP,144
1972,P01,10,1,227,LA,CB,FBS,1972-06-12,,MET,51776,IND,3,5,P1063,300,300,39683,15,,,,72PF0215,595245,178.5735,144,TIP,144
1972,P01,10,2,227,LA,CB,FBS,1972-06-12,,MET,51776,IND,3,5,P2133,150,21,39683,603,,6.6,3,72PF0215,23928849,502.50583,144,TIP,144
1972,P01,10,3,227,LA,CB,FBS,1972-06-12,,MET,51776,IND,3,5,P2159,1000,1000,39683,36,,,,72PF0215,1428588,1428.588,144,TIP,144
1972,P01,10,4,227,LA,CB,FBS,1972-06-12,,MET,51776,IND,3,5,P2201,100,8,39683,27,,4,2,72PF0215,1071441,8.57153,144,TIP,144
1972,P01,10,5,227,LA,CB,FBS,1972-06-12,,MET,51776,IND,3,5,P4351,100,48,39683,53,,4.5,4.5,72PF0215,2103199,100.95355,144,TIP,144
1972,P01,10,6,227,LA,CB,FBS,1972-06-12,,MET,51776,IND,3,5,P4352,300,319,39683,108,,8.3,8.3,72PF0215,4285764,1367.15872,144,TIP,144
1972,P01,10,7,227,LA,CB,FBS,1972-06-12,,MET,51776,IND,3,5,P4369,1500,1150,39683,14,,19.1,10.6,72PF0215,555562,638.8963,144,TIP,144
1972,P01,10,8,227,LA,CB,FBS,1972-06-12,,MET,51776,IND,3,5,P5518,650,77,39683,20,,73.4,2,72PF0215,793660,61.11182,144,TIP,144
1972,P01,10,9,227,LA,CB,FBS,1972-06-12,,MET,51776,IND,3,5,P6559,1500,4835,39683,5,,33.6,19.6,72PF0215,198415,959.33653,144,TIP,144
1970,P01,10,1,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P1014,100,45,39683,18,,4.1,4.1,70PF0057,714294,32.14323,144,TIP,144
1970,P01,10,2,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P1025,2000,2000,7184,1,,,,70PF0057,7184,14.368,144,TIP,144
1970,P01,10,3,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P1062,100,34,39683,34,,0.9,0.7,70PF0057,1349222,45.87355,144,TIP,144
1970,P01,10,4,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P1063,300,300,39683,1,,,,70PF0057,39683,11.9049,144,TIP,144
1970,P01,10,5,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P2105,300,166,39683,1,,9.1,5.4,70PF0057,39683,6.58738,144,TIP,144
1970,P01,10,6,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P2159,50,50,39683,73,,,,70PF0057,2896859,144.84295,144,TIP,144
1970,P01,10,7,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P2164,10000,24,200,1,,13.5,2.1,70PF0057,200,0.0048,144,TIP,144
1970,P01,10,8,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P2190,2000,2000,7184,4,,,,70PF0057,28736,57.472,144,TIP,144
1970,P01,10,9,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P2191,2000,865,200,2,,19.3,13.3,70PF0057,400,0.346,144,TIP,144
1970,P01,10,10,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P2193,2000,970,7184,23,,17,15,70PF0057,165232,160.27504,144,TIP,144
1970,P01,10,11,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P2196,10000,10000,200,134,,,,70PF0057,26800,268,144,TIP,144
1970,P01,10,12,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P2199,300,36,39683,86,,5.8,5.4,70PF0057,3412738,122.85857,144,TIP,144
1970,P01,10,13,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P2201,100,8,7184,30,,4,2,70PF0057,215520,1.72416,144,TIP,144
1970,P01,10,14,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P2206,15000,21486,200,12,,34.3,34.3,70PF0057,2400,51.5664,144,TIP,144
1970,P01,10,15,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P3305,1000,2036,200,2,,18,18,70PF0057,400,0.8144,144,TIP,144
1970,P01,10,16,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P4351,100,48,7184,8,,4.5,4.5,70PF0057,57472,2.75866,144,TIP,144
1970,P01,10,17,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P4352,300,319,7184,2,,8.3,8.3,70PF0057,14368,4.58339,144,TIP,144
1970,P01,10,18,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P4352,5000,319,200,1,,8.3,8.3,70PF0057,200,0.0638,144,TIP,144
1970,P01,10,19,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P4362,200,48,7184,43,,4.5,4.5,70PF0057,308912,14.82778,144,TIP,144
1970,P01,10,20,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P4364,3000,3418,200,6,,28.7,15,70PF0057,1200,4.1016,144,TIP,144
1970,P01,10,21,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P4380,200,200,7184,14,,,,70PF0057,100576,20.1152,144,TIP,144
1970,P01,10,22,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P4387,750,377,7184,16,,17.3,6.3,70PF0057,114944,43.33389,144,TIP,144
1970,P01,10,23,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P5513,2000,848,200,7,,71.8,6.6,70PF0057,1400,1.1872,144,TIP,144
1970,P01,10,24,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P5518,650,77,7184,20,,73.4,2,70PF0057,143680,11.06336,144,TIP,144
1970,P01,10,25,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P5521,200,200,7184,27,,,,70PF0057,193968,38.7936,144,TIP,144
1970,P01,10,26,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P6568,100,55,7184,8,,8.4,4.5,70PF0057,57472,3.16096,144,TIP,144
1970,P01,10,27,227,LA,CB,FBS,1970-06-16,,MET,51776,IND,3,5,P7635,10000,52569,200,1,,46.1,44.9,70PF0057,200,10.5138,144,TIP,144
1988,P01,100,1,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P1030,1,1,39683,18900,,1.5,0.3,88K4845,750008700,750.0087,144,TIP,144
1988,P01,100,2,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P1052,300,300,39683,17,,,,88K4845,674611,202.3833,144,TIP,144
1988,P01,100,3,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P1059,300,300,39683,41,,,,88K4845,1627003,488.1009,144,TIP,144
1988,P01,100,4,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P1074,75,75,39683,85,,,,88K4845,3373055,252.97913,144,TIP,144
1988,P01,100,5,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2100,750,917,1000,1,,16.5,14.5,88K4845,1000,0.917,144,TIP,144
1988,P01,100,6,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2105,350,166,39683,11,,9.1,5.4,88K4845,436513,72.46116,144,TIP,144
1988,P01,100,7,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2115,100,11,39683,4,,4,4,88K4845,158732,1.74605,144,TIP,144
1988,P01,100,8,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2121,300,98,39683,2,,9.2,4.4,88K4845,79366,7.77787,144,TIP,144
1988,P01,100,9,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2126,150,78,39683,4,,6,4.8,88K4845,158732,12.3811,144,TIP,144
1988,P01,100,10,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2130,150,23,39683,12,,6.9,3.1,88K4845,476196,10.95251,144,TIP,144
1988,P01,100,11,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2133,150,21,39683,65,,6.6,3,88K4845,2579395,54.1673,144,TIP,144
1988,P01,100,12,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2137,50,14,39683,324,,3,3,88K4845,12857292,180.00209,144,TIP,144
1988,P01,100,13,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2141,100,30,39683,13,,25.4,1.7,88K4845,515879,15.47637,144,TIP,144
1988,P01,100,14,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2191,1500,865,1000,2,,19.3,13.3,88K4845,2000,1.73,144,TIP,144
1988,P01,100,15,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2193,750,970,1000,4,,17,15,88K4845,4000,3.88,144,TIP,144
1988,P01,100,16,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P2199,300,36,39683,1440,,5.8,5.4,88K4845,57143520,2057.16672,144,TIP,144
1988,P01,100,17,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P4351,100,48,39683,20,,4.5,4.5,88K4845,793660,38.09568,144,TIP,144
1988,P01,100,18,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P4367,2000,1258,1000,2,,20.1,10.7,88K4845,2000,2.516,144,TIP,144
1988,P01,100,19,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P4418,300,157,39683,4,,6.5,6.5,88K4845,158732,24.92092,144,TIP,144
1988,P01,100,20,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P5518,200,77,1000,3,,73.4,2,88K4845,3000,0.231,144,TIP,144
1988,P01,100,21,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P5527,200,200,39683,150,,,,88K4845,5952450,1190.49,144,TIP,144
1988,P01,100,22,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P5541,200,67,39683,36,,25.5,3.1,88K4845,1428588,95.7154,144,TIP,144
1988,P01,100,23,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P6558,2000,907,1000,16,,21.3,11,88K4845,16000,14.512,144,TIP,144
1988,P01,100,24,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P6559,3000,4835,1000,1,,33.6,19.6,88K4845,1000,4.835,144,TIP,144
1988,P01,100,25,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P6565,2500,4109,1000,3,,42.4,16.4,88K4845,3000,12.327,144,TIP,144
1988,P01,100,26,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P7638,1000,2474,1000,54,,19,15.3,88K4845,54000,133.596,144,TIP,144
1988,P01,100,27,227,LA,CB,FBS,1988-07-18,,MET,7045,IND,3,3.25,P7640,20000,22913,1000,1,,35,34,88K4845,1000,22.913,144,TIP,144
2008,P01,100,1,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P2126,,59,39683,1,,7,4,K5608,39683,2.3413,144,TIP,144
2008,P01,100,2,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P2222,,14,39683,3,,3,3,K5608,119049,1.66669,144,TIP,144
2008,P01,100,3,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P1088,,144,39683,119,,6.5,6.5,K5608,4722277,680.00789,144,TIP,144
2008,P01,100,4,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P1072,,187,39683,7,,7.1,7.1,K5608,277781,51.94505,144,TIP,144
2008,P01,100,5,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P6558,,838,39683,2,,24,10,K5608,79366,66.50871,144,TIP,144
2008,P01,100,6,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P7632,,1131,39683,3,,15,12,K5608,119049,134.64442,144,TIP,144
2008,P01,100,7,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P2130,,45,39683,6,,8,4,K5608,238098,10.71441,144,TIP,144
2008,P01,100,8,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P5514,,1437,39683,2,,28,14,K5608,79366,114.04894,144,TIP,144
2008,P01,100,9,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P2235,,50,39683,16,,32,2,K5608,634928,31.7464,144,TIP,144
2008,P01,100,10,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P4358,,345,39683,3,,8.7,8.7,K5608,119049,41.07191,144,TIP,144
2008,P01,100,11,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P4351,,14,39683,3,,3,3,K5608,119049,1.66669,144,TIP,144
2008,P01,100,12,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P4352,,180,39683,2,,7,7,K5608,79366,14.28588,144,TIP,144
2008,P01,100,13,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P1052,,353,39683,42,,200,1.5,K5608,1666686,588.34016,144,TIP,144
2008,P01,100,14,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P2143,,56,39683,1,,9,4,K5608,39683,2.22225,144,TIP,144
2008,P01,100,15,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P4418,,59,39683,71,,7,4,K5608,2817493,166.23209,144,TIP,144
2008,P01,100,16,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P2141,,19,39683,13,,21,1.5,K5608,515879,9.8017,144,TIP,144
2008,P01,100,17,227,LA,CB,FBS,2008-06-24,,EPI,45787,IND,0,1,P5511,,78,39683,1,,11,3,K5608,39683,3.09527,144,TIP,144
