Year,Month,Day,TotalRadiaton,AirTemp,Humidity,AirPressure,WindSpeed,Precipitation
1969,10,28,11.18,1.1,90,969,2.7,0
1969,10,29,11.10,0.25,52,969,2.5,0
1969,10,30,10.32,3.6,52,969,1.7,0
1969,10,31,10.24,2.5,52,969,0.8,1.8
1969,11,1,10.07,1.1,51,969,2.1,2.3
1969,11,2,9.57,0.85,54,969,1.8,0
1969,11,3,11.09,-1.1,58,969,1.7,0
1969,11,4,9.38,3.3,55,969,1.8,0
1969,11,5,9.44,4.15,61,970,3.1,0
1969,11,6,10.33,4.45,62,970,1.4,0
1969,11,7,10.29,4.4,51,970,1.8,0
1969,11,8,10.18,6.15,45,970,3.9,0
1969,11,9,9.98,8.9,53,970,2,0
1969,11,10,10.04,8.05,56,970,2.3,0
1969,11,11,10.94,1.1,52,969,2.9,3
1969,11,12,11.15,-3.6,49,968,2.5,1.8
1969,11,13,9.53,-8.35,84,968,4.4,6.9
1969,11,14,10.11,-9.75,95,967,3.8,2.5
1969,11,15,9.62,-8.1,76,968,2.4,1
1969,11,16,8.65,-8.35,77,968,2.4,1.3
1969,11,17,8.72,-5.55,70,968,4.9,0
1969,11,18,8.23,-8.9,69,967,3.9,0.8
1969,11,19,8.73,-10.3,53,967,4.1,1.3
1969,11,20,9.49,-12.8,57,967,2.1,0
1969,11,21,8.69,-10.55,50,967,5.7,1
1969,11,22,8.08,-6.95,97,968,2.5,0
1969,11,23,6.60,-6.65,64,968,0.9,0.3
1969,11,24,6.93,-2.2,49,969,5.7,0.5
1969,11,25,6.18,-11.1,64,967,3.3,0
1969,11,26,8.10,-13.05,85,967,1.2,0
1969,11,27,7.80,-10.55,69,967,5.9,0
1969,11,28,7.98,-2.2,57,969,4.6,0
1969,11,29,5.94,-8.05,69,968,3.6,0
1969,11,30,5.99,-1.65,97,969,3.3,0
1969,12,1,7.06,-1.4,69,969,2.6,0
1969,12,2,8.88,0.8,79,969,5,0
1969,12,3,6.20,-10,86,967,3.5,0
1969,12,4,7.14,-11.95,84,967,2.4,0
1969,12,5,8.26,-6.65,99,968,3.8,4.8
1969,12,6,9.16,-3.85,62,968,3.1,2.8
1969,12,7,6.21,-3.05,49,968,4,9.1
1969,12,8,8.31,NaN,53,NaN,7.1,4.6
1969,12,9,7.69,-6.35,54,968,3,0.8
1969,12,10,8.81,-7.2,60,968,0.4,0.3
1969,12,11,9.76,-8.3,50,968,1.2,5.1
1969,12,12,7.92,-9.2,58,967,3.8,0.5
1969,12,13,7.31,-8.6,93,967,4.8,0
1969,12,14,7.04,-11.1,76,967,3.1,0
1969,12,15,8.10,-16.1,53,966,NA,0
1969,12,16,8.11,-9.15,49,967,4.7,0
1969,12,17,8.21,-6.1,49,968,2,0
1969,12,18,8.95,-8.6,47,967,2.7,0.5
1969,12,19,8.59,-12.25,39,967,2.2,0
1969,12,20,6.32,-15.55,74,966,1.4,0
1969,12,21,7.40,-16.95,47,966,2,0
1969,12,22,6.84,-22.25,61,965,1.5,0
1969,12,23,8.69,-17.8,57,966,0.8,0
1969,12,24,7.63,-13.05,56,967,3.1,5.6
1969,12,25,7.55,-7.5,60,968,0.4,0
1969,12,26,9.13,-10.55,82,967,0.5,0
1969,12,27,9.05,-15.55,79,966,0,0
1969,12,28,9.33,-12.25,96,967,0,2
1969,12,29,10.04,-13.05,81,967,0.6,0
1969,12,30,9.76,-10.8,77,967,2.8,0
1969,12,31,10.06,-10,84,967,2.4,0.8
1970,1,1,9.35,-9.2,58,967,1.3,0.3
1970,1,2,12.74,-12.5,87,967,0.2,1
1970,1,3,11.25,-16.65,87,966,0,2.8
1970,1,4,12.88,-19.15,87,966,1.4,0.3
1970,1,5,12.54,-21.7,94,965,2.2,0.3
1970,1,6,10.71,-21.95,96,965,3,0.3
1970,1,7,9.81,-22.5,85,965,2.1,1.5
1970,1,8,11.99,-18.9,72,966,4.8,0.8
1970,1,9,11.46,-15.55,94,966,1.3,0
1970,1,10,10.80,-13.9,76,967,4.4,4.8
1970,1,11,10.19,-10.8,70,967,3.5,0.5
1970,1,12,13.03,-23.1,86,965,3.1,0
1970,1,13,14.70,-27.5,69,964,1.1,0.5
1970,1,14,11.94,-21.7,71,965,2.2,8.1
1970,1,15,12.74,-16.95,58,966,2.1,1.5
1970,1,16,14.31,-28.65,45,964,3.1,0
1970,1,17,13.79,-31.7,75,963,1.8,0
1970,1,18,13.67,-31.65,73,963,1.8,0
1970,1,19,15.00,-31.15,72,963,1.7,1
1970,1,20,12.97,-28.9,68,964,1.6,0
1970,1,21,10.10,-26.9,68,964,NA,0.3
1970,1,22,12.19,-20.85,50,965,3.2,0
1970,1,23,9.99,-22.5,60,965,4.1,1.5
1970,1,24,11.03,-10.8,84,967,0.6,0
1970,1,25,12.37,-7.5,73,968,0.6,0.8
1970,1,26,12.51,-7.8,87,968,1.2,0
1970,1,27,12.12,-8.1,67,968,3.4,3.3
1970,1,28,13.27,-7.25,62,968,5.5,0
1970,1,29,14.25,-18.9,60,966,2.3,0
1970,1,30,13.01,-10.6,60,967,4.7,0
1970,1,31,16.64,-5.55,56,968,2.9,2
1970,2,1,17.59,-13.05,65,967,4,4.1
1970,2,2,16.32,-32.5,64,963,4.4,0.3
1970,2,3,17.99,-30.25,93,964,3.4,0
1970,2,4,15.34,-22.75,95,965,1.7,1
1970,2,5,16.88,-16.1,89,966,3.3,0
1970,2,6,16.36,-12.2,91,967,2.3,0
1970,2,7,15.25,-11.1,72,967,2,0
1970,2,8,18.36,-11.4,78,967,0.9,0.5
1970,2,9,18.14,-5.55,61,968,4.9,0
1970,2,10,19.93,-13.05,70,967,3.9,0
1970,2,11,18.44,-14.7,73,966,2.2,1
1970,2,12,22.93,-20,67,965,2.6,0
1970,2,13,18.69,-24.75,67,965,2.7,0
1970,2,14,18.31,-23.35,64,965,1.8,1
1970,2,15,15.30,-22.2,79,965,2.4,6.4
1970,2,16,24.25,-19.7,71,966,3.7,0
1970,2,17,14.75,-15.55,75,966,3.2,7.1
1970,2,18,19.45,-20.85,79,965,3.5,0.5
1970,2,19,19.77,-19.75,84,966,2.9,0
1970,2,20,15.29,-20.3,96,965,3.7,0
1970,2,21,22.02,-5,81,968,3.9,0
1970,2,22,18.80,-2.2,97,969,4.3,0
1970,2,23,18.17,-1.65,78,969,4.9,0
1970,2,24,21.36,-11.4,72,967,5.4,3
1970,2,25,26.36,-20.8,78,965,4.7,3.3
1970,2,26,24.40,-13.9,89,967,3.9,0
1970,2,27,23.37,-14.7,91,966,1.8,0
1970,2,28,25.04,-15.85,67,966,1,0
1970,3,1,26.70,-11.1,82,967,2,0
1970,3,2,22.77,-8.65,87,967,3.9,36.8
1970,3,3,20.79,-3.6,80,968,2.5,14
1970,3,4,23.68,-13.6,90,967,1.7,0
1970,3,5,21.66,-12.8,70,967,2.1,26.2
1970,3,6,15.26,-16.95,76,966,2.1,0
1970,3,7,24.36,-20.3,93,965,1.3,0
1970,3,8,17.39,-14.7,81,966,1.7,0
1970,3,9,12.77,-11.95,81,967,1.8,0
1970,3,10,16.23,-11.4,97,967,1.3,0
1970,3,11,20.23,-10.85,79,967,1.5,0
1970,3,12,23.85,-12.75,97,967,1.8,1.8
1970,3,13,15.59,-6.95,82,968,3.8,0
1970,3,14,18.47,-8.35,68,968,3.4,0
1970,3,15,22.51,-7.75,91,968,1.6,0
1970,3,16,20.64,-8.35,78,968,1.9,0
1970,3,17,21.10,-3.35,92,968,1.8,0
1970,3,18,16.81,-2.5,86,968,1.2,0
1970,3,19,20.67,-1.1,80,969,0.8,0
1970,3,20,22.07,-0.25,96,969,1.9,0
1970,3,21,25.93,-0.55,96,969,0.9,0
1970,3,22,25.53,0.3,91,969,2.4,0
1970,3,23,22.67,-1.65,89,969,1.4,0
1970,3,24,17.97,-1.1,97,969,1,0
1970,3,25,22.00,-1.65,74,969,1.7,6.1
1970,3,26,27.68,-5,90,968,2.2,4.3
1970,3,27,27.25,-14.2,86,967,2.6,0
1970,3,28,25.31,-17.75,81,966,1.3,0
1970,3,29,25.00,-12.5,71,967,1.6,2
1970,3,30,20.92,-7.5,92,968,1.9,0
1970,3,31,18.46,-11.65,97,967,2,0
1970,4,1,20.27,-11.65,92,967,1.7,0
1970,4,2,22.16,-5.25,94,968,0.9,0
1970,4,3,19.99,-4.15,96,968,2.3,0
1970,4,4,26.05,-5.3,94,968,1.9,0
1970,4,5,31.85,1.65,87,969,1.3,0
1970,4,6,30.08,0.25,78,969,1.4,0
1970,4,7,26.33,7.25,83,970,3.9,0
1970,4,8,24.05,-1.95,89,969,5.1,0
1970,4,9,27.18,-6.4,81,968,3.1,3
1970,4,10,22.53,-4.75,92,968,2.2,0
1970,4,11,26.31,0.55,93,969,3.2,0
1970,4,12,23.19,0,93,969,3.6,0
1970,4,13,24.62,1.95,83,969,4.5,0
1970,4,14,28.72,1.4,95,969,3.3,0
1970,4,15,26.42,1.95,97,969,3.9,0
1970,4,16,25.10,1.1,96,969,3.1,11.4
1970,4,17,26.29,-0.3,86,969,1.7,51.6
1970,4,18,27.05,0,94,969,1.8,0
1970,4,19,27.90,0.55,94,969,5.6,0
1970,4,20,28.72,-0.85,72,969,4.2,25.1
1970,4,21,29.62,0,53,969,2.4,0
1970,4,22,29.25,2.5,94,969,1.3,22.4
1970,4,23,29.08,2.2,78,969,2.1,0.8
1970,4,24,23.69,4.15,54,970,1.8,0
1970,4,25,28.16,8.1,69,970,3.1,0
1970,4,26,27.69,6.65,79,970,1.7,0
1970,4,27,26.93,3.6,79,969,3.7,24.1
1970,4,28,28.97,5,98,970,5.6,4.3
1970,4,29,27.51,9.15,90,970,1.4,0
1970,4,30,24.01,3.6,83,969,4.2,0
1970,5,1,27.20,-0.85,93,969,2.8,0
1970,5,2,29.48,1.7,95,969,2.3,0
1970,5,3,31.52,7.25,95,970,2.7,0.8
1970,5,4,28.50,3.3,97,969,1.6,2.8
1970,5,5,26.48,1.4,98,969,1.7,0
1970,5,6,29.72,8.05,95,970,4.4,0.3
1970,5,7,26.36,15.55,93,971,2.5,0
1970,5,8,25.40,8.9,76,970,6.1,7.4
1970,5,9,27.07,3.05,95,969,5.6,0
1970,5,10,24.92,0.55,94,969,4.2,0.3
1970,5,11,24.18,3.3,97,969,3.4,7.1
1970,5,12,27.31,1.95,97,969,3,0
1970,5,13,24.57,5.55,90,970,2.2,0
1970,5,14,28.91,7.25,89,970,2.1,11.4
1970,5,15,26.17,2.5,94,969,3,7.1
1970,5,16,27.97,7.8,97,970,2.5,0
1970,5,17,27.40,13.35,79,971,3.3,0
1970,5,18,32.09,NaN,75,NaN,3,0
1970,5,19,25.88,6.65,78,970,1.5,0.5
1970,5,20,27.44,9.4,87,970,2.6,7.6
1970,5,21,28.40,9.75,91,970,1.7,0
1970,5,22,26.26,12.8,95,971,0.7,0
1970,5,23,26.91,14.7,90,971,0.7,0
1970,5,24,31.73,13.35,92,971,2.6,11.4
1970,5,25,29.65,4.7,96,970,3.5,17.3
1970,5,26,32.94,1.65,81,969,2.8,1.3
1970,5,27,31.50,6.15,80,970,1.6,0
1970,5,28,31.33,10.55,88,971,3.6,5.6
1970,5,29,29.14,13.05,93,971,1.6,3.8
1970,5,30,28.01,12.75,94,971,0.5,0
1970,5,31,27.63,12.5,66,971,2.1,5.6
1970,6,1,26.43,14.15,83,971,2.1,0
1970,6,2,28.16,13.35,92,971,1.5,0
1970,6,3,30.94,15.8,95,971,2.4,0
1970,6,4,30.68,18.9,94,972,1.8,0
1970,6,5,27.27,20.8,95,972,1.4,0
1970,6,6,24.98,23.65,93,972,2.5,0
1970,6,7,27.57,18.9,89,972,1.3,0
1970,6,8,27.08,24.45,83,972,4.2,0
1970,6,9,26.15,22.5,83,972,1.9,13
1970,6,10,28.14,20,91,972,2.5,0
1970,6,11,28.87,14.45,89,971,3.5,0.5
1970,6,12,29.18,18.6,91,972,3.5,0
1970,6,13,25.66,19.15,87,972,2.1,0
1970,6,14,23.26,18.9,88,972,0.9,0
1970,6,15,24.39,17.75,95,972,0.6,3.6
1970,6,16,27.20,18.35,97,972,1.8,36.3
1970,6,17,28.56,18.85,87,972,2.3,0.5
1970,6,18,30.42,11.1,92,971,NA,0
1970,6,19,26.07,13.6,79,971,1.1,0
1970,6,20,27.61,15.25,95,971,1,0
1970,6,21,27.39,18.35,97,972,2,0
1970,6,22,29.12,18.1,87,972,NA,0
1970,6,23,26.73,19.2,85,972,4.6,1
1970,6,24,26.68,13.9,85,971,2.6,0
1970,6,25,26.54,10.85,90,971,1.8,16.5
1970,6,26,26.03,13.9,85,971,0.8,0
1970,6,27,26.19,13.9,82,971,1.5,0
1970,6,28,24.65,19.7,92,972,2.7,3.3
1970,6,29,27.90,23.6,80,972,1.8,0
1970,6,30,27.92,23.6,89,972,2.4,13.2
1970,7,1,28.28,20,88,972,3.2,0
1970,7,2,26.71,17.5,88,972,2.8,6.4
1970,7,3,27.30,14.45,77,971,2.9,1.3
1970,7,4,28.43,16.1,81,971,1.8,0
1970,7,5,24.18,17.8,88,972,1.7,5.8
1970,7,6,29.51,21.1,92,972,1.9,0
1970,7,7,29.27,19.15,93,972,2.2,1.3
1970,7,8,28.30,20.3,93,972,1.8,0
1970,7,9,32.37,21.9,98,972,2.5,0
1970,7,10,33.40,23.6,96,972,0.9,0
1970,7,11,28.39,24.2,78,972,0.4,0
1970,7,12,26.49,21.9,97,972,1.6,8.1
1970,7,13,26.70,23.35,93,972,1.1,1.5
1970,7,14,28.68,21.95,90,972,2,0
1970,7,15,29.30,20.25,96,972,2.7,0
1970,7,16,28.38,22.5,84,972,2.6,0
1970,7,17,26.17,19.2,95,972,2,0
1970,7,18,28.75,8.6,97,970,2.3,12.2
1970,7,19,29.35,15.3,97,971,2.6,0
1970,7,20,28.72,16.15,97,971,1.1,0
1970,7,21,29.57,19.15,95,972,2,0
1970,7,22,31.32,21.4,95,972,4.2,0
1970,7,23,26.29,22.75,98,972,4.7,0
1970,7,24,28.20,20.85,92,972,4.4,1.8
1970,7,25,28.94,21.95,94,972,1.4,0
1970,7,26,29.16,25.3,92,973,2.9,0
1970,7,27,27.24,21.1,89,972,1.1,0
1970,7,28,28.68,22.8,92,972,0.6,0
1970,7,29,29.06,23.6,95,972,1.1,26.9
1970,7,30,26.03,24.4,97,972,1.1,0.8
1970,7,31,28.43,20,97,972,2.8,0
1970,8,1,27.22,19.45,93,972,2.7,0
1970,8,2,28.32,14.15,93,971,3.2,0
1970,8,3,28.70,14.15,94,971,1.4,0
1970,8,4,29.65,17.5,85,972,1.6,0
1970,8,5,29.83,20.85,83,972,1.2,0
1970,8,6,27.90,21.4,95,972,0.8,4.3
1970,8,7,28.24,22.5,92,972,0.7,0
1970,8,8,27.29,23.05,96,972,0.9,0
1970,8,9,24.85,22.25,67,972,2.3,0
1970,8,10,26.90,22.5,84,972,0.6,0
1970,8,11,28.95,22.2,94,972,0.6,0
1970,8,12,27.03,25.85,92,973,1.5,0
1970,8,13,28.30,26.65,96,973,1.1,0
1970,8,14,24.22,22.2,94,972,2,2.3
1970,8,15,26.98,17.25,91,971,1.9,3.8
1970,8,16,26.64,11.95,83,971,1.8,0
1970,8,17,26.50,17.2,88,971,3.2,0
1970,8,18,25.41,18.9,71,972,2.9,13
1970,8,19,27.06,16.1,69,971,2.2,0
1970,8,20,27.97,15.25,85,971,1.9,0
1970,8,21,25.29,12.75,90,971,2.6,14
1970,8,22,24.47,16.4,91,971,3.2,0
1970,8,23,23.85,17.8,91,972,1.1,0
1970,8,24,24.36,17.8,83,972,1.3,0
1970,8,25,24.17,19.45,82,972,1.6,0
1970,8,26,24.82,17.5,92,972,1.8,4.8
1970,8,27,24.90,17.25,98,971,2.4,0
1970,8,28,24.34,14.45,89,971,NA,0
1970,8,29,23.77,16.15,92,971,NA,23.4
1970,8,30,25.87,13.3,97,971,2.9,0
1970,8,31,22.24,10.85,83,971,0.7,0
1970,9,1,23.51,16.95,81,971,2,8.6
1970,9,2,22.34,18.9,81,972,1.6,0.5
1970,9,3,21.19,20,80,972,0.9,2.3
1970,9,4,22.98,17.5,75,972,1.3,0
1970,9,5,23.11,19.75,81,972,2.4,0
1970,9,6,22.92,18.6,79,972,2.9,32.3
1970,9,7,23.99,16.95,79,971,2.4,24.6
1970,9,8,22.37,11.4,71,971,1.6,7.9
1970,9,9,22.97,11.4,83,971,3.5,0.8
1970,9,10,20.98,9.7,96,970,2.4,0.5
1970,9,11,20.26,8.05,97,970,2,29.2
1970,9,12,20.05,5.3,89,970,2.2,4.1
1970,9,13,20.09,3.35,94,969,1.2,0
1970,9,14,19.66,5.3,93,970,0.4,0
1970,9,15,22.41,5,80,970,0.9,15.7
1970,9,16,21.15,10,75,970,2.4,0
1970,9,17,19.91,13.35,74,971,3.2,0
1970,9,18,17.81,15.3,65,971,2.1,0
1970,9,19,18.18,18.9,67,972,2.6,0
1970,9,20,20.01,20,67,972,1.5,1.5
1970,9,21,18.03,14.45,72,971,4.3,4.3
1970,9,22,18.44,5.8,70,970,2.8,0
1970,9,23,21.91,8.6,77,970,1.6,0
1970,9,24,20.01,11.95,76,971,0.9,0.3
1970,9,25,19.46,7.5,76,970,1.2,2.3
1970,9,26,20.01,6.35,85,970,2.5,1.8
1970,9,27,16.07,5,75,970,1.6,0
1970,9,28,15.86,6.95,79,970,2.5,0
1970,9,29,19.07,14.15,77,971,2.2,0
1970,9,30,18.01,11.9,76,971,2,0
1970,10,1,19.60,13.65,66,971,3,5.8
1970,10,2,18.41,3.9,67,970,3.8,1.5
1970,10,3,16.86,4.45,64,970,3.8,0
1970,10,4,17.43,6.15,70,970,1.8,0
1970,10,5,13.32,12.75,44,971,2.1,0
1970,10,6,16.20,13.65,40,971,3.1,2.5
1970,10,7,14.42,2.5,61,969,2.4,0
1970,10,8,15.91,1.1,68,969,4.8,19.1
1970,10,9,16.56,-1.4,60,969,4.6,25.9
1970,10,10,14.30,-2.5,65,968,3.4,0
1970,10,11,14.26,-1.95,64,969,2.4,0
1970,10,12,13.12,2.5,63,969,1.9,6.4
1970,10,13,13.86,0.55,64,969,1.9,0.8
1970,10,14,15.37,-1.95,66,969,1.1,1
1970,10,15,13.99,0.55,61,969,NA,0
1970,10,16,13.78,5.55,65,970,2.8,0
1970,10,17,12.49,8.05,59,970,2.3,0
1970,10,18,12.46,3.85,61,970,2.1,0
1970,10,19,12.77,7.75,67,970,3.7,0
1970,10,20,12.91,9.45,61,970,3.2,0
1970,10,21,12.42,NaN,66,NaN,3.2,0
1970,10,22,13.01,10.85,57,971,2.7,0.8
1970,10,23,11.14,11.1,55,971,2.3,0
1970,10,24,10.59,10,62,970,2,2.3
1970,10,25,12.40,11.65,67,971,3.8,2
1970,10,26,10.47,7.75,65,970,2.8,24.6
1970,10,27,10.02,5.8,68,970,3,10.2
1970,10,28,11.18,1.1,90,969,2,6.1
1970,10,29,11.10,1.65,52,969,2.2,1.5
1970,10,30,10.32,2.2,52,969,3.7,8.1
1970,10,31,10.24,2.75,52,969,2.8,8.4
1970,11,1,10.07,2.2,51,969,4.2,0
1970,11,2,9.57,3.05,54,969,NA,0
1970,11,3,11.09,2.5,58,969,NA,0
1970,11,4,9.38,0.55,55,969,NA,0
1970,11,5,9.44,3.35,61,969,NA,0
1970,11,6,10.33,0,62,969,NA,0
1970,11,7,10.29,-4.45,51,968,1.8,0
1970,11,8,10.18,-0.8,45,969,1.6,0
1970,11,9,9.98,0,53,969,0.7,0
1970,11,10,10.04,-1.1,56,969,0.6,0
1970,11,11,10.94,-1.95,52,969,1.8,0
1970,11,12,11.15,-4.15,49,968,1.5,0
1970,11,13,9.53,-8.6,84,967,2.2,0
1970,11,14,10.11,-8.05,95,968,1.3,0
1970,11,15,9.62,-2.2,76,969,2.8,0
1970,11,16,8.65,-0.25,77,969,1.3,0
1970,11,17,8.72,-0.8,70,969,2.3,5.3
1970,11,18,8.23,0,69,969,1.2,0.5
1970,11,19,8.73,-2.5,53,968,1.4,0
1970,11,20,9.49,-2.5,57,968,1.9,1
1970,11,21,8.69,-9.75,50,967,2.9,5.6
1970,11,22,8.08,-13.05,97,967,4.7,0.5
1970,11,23,6.60,-14.15,64,967,3.7,0
1970,11,24,6.93,-12.5,49,967,3.8,8.4
1970,11,25,6.18,-6.15,64,968,4.8,5.1
1970,11,26,8.10,-14.45,85,966,1.9,0
1970,11,27,7.80,-15,69,966,1.4,0
1970,11,28,7.98,-8.6,57,967,3.6,0
1970,11,29,5.94,-8.35,69,968,2.9,0.3
1970,11,30,5.99,-8.6,97,967,2.9,13.7
1970,12,1,7.06,-1.35,69,969,3.4,6.6
1970,12,2,8.88,-16.95,79,966,NA,0
1970,12,3,6.20,-16.65,86,966,4.2,0
1970,12,4,7.14,-10.85,84,967,3.1,0.5
1970,12,5,8.26,-16.4,99,966,3.4,1
1970,12,6,9.16,-17.2,62,966,NA,0
1970,12,7,6.21,-12.8,49,967,2.6,0
1970,12,8,8.31,-8.35,53,968,1.7,5.6
1970,12,9,7.69,-13.9,54,967,2.3,0
1970,12,10,8.81,-20.55,60,965,0.8,0
1970,12,11,9.76,-15.3,50,966,2.6,0
1970,12,12,7.92,-8.05,58,968,3.2,1
1970,12,13,7.31,-11.7,93,967,1.9,11.9
1970,12,14,7.04,-17.75,76,966,1.1,0
1970,12,15,8.10,-13.6,53,967,2.2,0.3
1970,12,16,8.11,-11.1,49,967,0.7,0
1970,12,17,8.21,-12.8,49,967,2.5,6.1
1970,12,18,8.95,-13.9,47,967,2.3,0
